source,pdf,pages,chars,tables,avg_table_rows,chars_per_page,tables_per_page,repeat_ratio,flags,txt_rel,tbl_rel
alerts,12204_Drug_Alert_for_the_Month_of_October_2024.pdf,9,14396,9,7.11,1599.6,1.0,0.038,,alerts\12204_Drug_Alert_for_the_Month_of_October_2024.txt,alerts\12204_Drug_Alert_for_the_Month_of_October_2024.tables.json
alerts,12290_State_Drug_Alert_for_the_Month_of_November_2024.pdf,18,28671,16,5.38,1592.8,0.89,0.114,,alerts\12290_State_Drug_Alert_for_the_Month_of_November_2024.txt,alerts\12290_State_Drug_Alert_for_the_Month_of_November_2024.tables.json
alerts,12291_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_November_2024.pdf,2,2391,1,3.0,1195.5,0.5,0.083,,alerts\12291_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_November_2024.txt,alerts\12291_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_November_2024.tables.json
alerts,12292_Drug_Alert_for_the_Month_of_November_2024.pdf,8,10473,8,6.0,1309.1,1.0,0.082,,alerts\12292_Drug_Alert_for_the_Month_of_November_2024.txt,alerts\12292_Drug_Alert_for_the_Month_of_November_2024.tables.json
alerts,12393_Drug_Alert_for_the_Month_of_December_2024.pdf,9,13741,9,6.78,1526.8,1.0,0.071,,alerts\12393_Drug_Alert_for_the_Month_of_December_2024.txt,alerts\12393_Drug_Alert_for_the_Month_of_December_2024.tables.json
alerts,12394_State_Drug_Alert_for_the_Month_of_December_2024.pdf,18,27936,17,5.82,1552.0,0.94,0.094,,alerts\12394_State_Drug_Alert_for_the_Month_of_December_2024.txt,alerts\12394_State_Drug_Alert_for_the_Month_of_December_2024.tables.json
alerts,12555_NSQ_ALERT_FOR_THE_MONTH_OF_JANUARY-2025.pdf,10,12748,10,6.0,1274.8,1.0,0.045,,alerts\12555_NSQ_ALERT_FOR_THE_MONTH_OF_JANUARY-2025.txt,alerts\12555_NSQ_ALERT_FOR_THE_MONTH_OF_JANUARY-2025.tables.json
alerts,12556_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_JANUARY-2025.pdf,22,34132,18,5.61,1551.5,0.82,0.226,,alerts\12556_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_JANUARY-2025.txt,alerts\12556_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_JANUARY-2025.tables.json
alerts,12612_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_February-2025.pdf,1,1911,0,0.0,1911.0,0.0,0.0,,alerts\12612_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_February-2025.txt,alerts\12612_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_February-2025.tables.json
alerts,12613_NSQ_ALERT_FOR_THE_MONTH_OF_Feb-2025.pdf,6,12111,6,8.33,2018.5,1.0,0.048,,alerts\12613_NSQ_ALERT_FOR_THE_MONTH_OF_Feb-2025.txt,alerts\12613_NSQ_ALERT_FOR_THE_MONTH_OF_Feb-2025.tables.json
alerts,12614_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_FEBRUARY-2025.pdf,16,28345,11,5.45,1771.6,0.69,0.216,,alerts\12614_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_FEBRUARY-2025.txt,alerts\12614_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_FEBRUARY-2025.tables.json
alerts,12667_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_March-_2025.pdf,1,1884,0,0.0,1884.0,0.0,0.0,,alerts\12667_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_March-_2025.txt,alerts\12667_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_March-_2025.tables.json
alerts,12668_State_NSQ_Alert_For_The_Month_March-2025.pdf,9,22296,8,8.12,2477.3,0.89,0.157,,alerts\12668_State_NSQ_Alert_For_The_Month_March-2025.txt,alerts\12668_State_NSQ_Alert_For_The_Month_March-2025.tables.json
alerts,12670_Revise_list_drug_alert_November-2024.pdf,1,853,0,0.0,853.0,0.0,0.0,,alerts\12670_Revise_list_drug_alert_November-2024.txt,alerts\12670_Revise_list_drug_alert_November-2024.tables.json
alerts,12671_Revise_list_drug_alert_January-2025.pdf,1,732,0,0.0,732.0,0.0,0.0,,alerts\12671_Revise_list_drug_alert_January-2025.txt,alerts\12671_Revise_list_drug_alert_January-2025.tables.json
alerts,12737_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Not_of_Standard_QualitySpuriousAdulteratedMisbranded_for.pdf,1,840,0,0.0,840.0,0.0,0.0,,alerts\12737_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Not_of_Standard_QualitySpuriousAdulteratedMisbranded_for.txt,alerts\12737_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Not_of_Standard_QualitySpuriousAdulteratedMisbranded_for.tables.json
alerts,12738_Not_Of_Standard_of_Quality_NSQ_ALERT_FOR_THE_MONTH_OF_April-2025.pdf,7,15346,7,9.14,2192.3,1.0,0.352,REPEATED_LINES,alerts\12738_Not_Of_Standard_of_Quality_NSQ_ALERT_FOR_THE_MONTH_OF_April-2025.txt,alerts\12738_Not_Of_Standard_of_Quality_NSQ_ALERT_FOR_THE_MONTH_OF_April-2025.tables.json
