"source","filename","pages"
"public_notices","7589_Evaluation_of_Certain_Pre-1988_Permitted_Fixed_Dose_Combinations_FDCs_De_novo_for_manufacture_for_sale_in_the_country_wi.pdf","1"
"public_notices","7610_Procedure_to_be_follow_for_reqularisation_of_19_FDCs_out_of_294_FDCs_which_required_further_generation_of_data_which_wer.pdf","3"
"public_notices","7612_Procedure_to_be_followed_for_regularisation_of_FDCs_declared_as_rational_in_respect_of_249_FDCs_by_the_DTAB_which_were_l.pdf","2"
"public_notices","7617_Manufacturing_and_marketing_of_FDC_of_Tolperisone_HCL_150mg_Paracetamol_IP_500mg_tablet.pdf","1"
"public_notices","8019_Evaluation_of_certain_pre_1988_permitted_Fixed_Dose_Combinations_FDCs_de_novo_for_manufacture_for_sale_in_the_country_wi.pdf","1"
"public_notices","8025_Vigil_on_the_activities_of_distribution_sale_of_suspected_spurious_Tocilizumab_400_mg20_ml_Injections_in_India.pdf","1"
"public_notices","8034_Evaluation_of_certain_pre_1988_permitted_Fixed_Dose_Combinations_FDCs_de_novo_for_manufacture_for_sale_in_the_country_wi.pdf","2"
"public_notices","812_Notice-dated_13.12.2012_DRUG_ALERT.pdf","1"
"public_notices","8327_Procedure_to_be_followed_for_regularization_of_FDCs_with_respect_to_294_FDCs_examined_by_the_DTAB_which_were_licensed_to.pdf","1"
"public_notices","851_Notice_regarding_consideration_of_the_directions_of_Honble_SC_India_in_the_Case_of_344_FDCs05_FDCs_probibited_Vide_S.O_N.pdf","1"
